Altitude,Temperature,u,v,k,eps
7.51041,21.0551,8.49453313232916,0.12162152754409593,0.341175,0.0120278
12.5348,21.0061,8.907683807533541,0.1146802643908141,0.336052,0.0068628
17.5691,20.9569,9.176365994581744,0.10702097695691241,0.333328,0.00471233
22.616,20.9077,9.372244777263647,0.09943671403591044,0.333279,0.00356444
27.6757,20.8583,9.524092186009007,0.09217152674858309,0.335039,0.00286123
32.748,20.8088,9.646510849124605,0.08529927668108953,0.338094,0.0023909
37.8331,20.7591,9.747954273246531,0.07883134599048064,0.342121,0.00205664
42.931,20.7094,9.833721668021013,0.07275438831430343,0.346901,0.00180832
48.0418,20.6595,9.907414898960202,0.06704573578118632,0.352272,0.0016175
53.1654,20.6095,9.971531212604626,0.061678486425179924,0.35811,0.0014669
58.3018,20.5593,10.02792532261576,0.05662503166112905,0.364315,0.00134545
63.4512,20.5091,10.078000168569456,0.05185734388680742,0.370807,0.00124573
68.6136,20.4587,10.122678257948644,0.047363551120649466,0.377521,0.00116262
73.7889,20.4082,10.163059828929804,0.04309807974062239,0.384404,0.00109245
78.9773,20.3575,10.199546497418309,0.03906174494160423,0.391414,0.00103254
84.1787,20.3067,10.232838199923801,0.03522310022166803,0.398514,0.000980895
89.3932,20.2558,10.263335150497214,0.03156702230637603,0.405675,0.000935992
94.6208,20.2048,10.29143738795769,0.028076395612626228,0.412873,0.000896654
99.8615,20.1537,10.317345106946597,0.02474465465753215,0.420088,0.000861956
105.115,20.1024,10.34135811753853,0.021556472367936154,0.427304,0.000831165
110.383,20.051,10.363775966960377,0.018493533207685073,0.434508,0.000803693
115.663,19.9994,10.384599005675746,0.01555982179410755,0.441688,0.000779061
120.957,19.9477,10.404226308728846,0.012727264846447211,0.448836,0.000756877
126.264,19.8959,10.422558435918264,0.010006616263638626,0.455944,0.000736816
131.584,19.844,10.439894584007266,0.007375575892199538,0.463006,0.000718609
136.918,19.7919,10.45623484061176,0.004835139886462191,0.470017,0.000702028
142.265,19.7397,10.471679084012678,0.002379535119152356,0.476973,0.000686882
147.626,19.6874,10.486326929643239,-4.854777798358579e-17,0.483871,0.000673009
153.0,19.635,10.500178552735248,-0.002301473162330754,0.490708,0.000660269
158.387,19.5824,10.513433184155147,-0.004542407548380805,0.497482,0.000648542
163.788,19.5297,10.525991208469721,-0.00671404156787957,0.504191,0.000637724
169.203,19.4768,10.538051944161307,-0.00883290224703596,0.510834,0.000627727
174.632,19.4238,10.54961539122991,-0.010898989585849972,0.51741,0.000618471
180.074,19.3707,10.560681462059627,-0.012913299738653744,0.523918,0.000609889
